period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,technology,energy_source_code,energy.source.desc,prime_mover_code,balancing_authority_code,balancing.authority.name,status,statusDescription,county,latitude,longitude,nameplate.capacity.mw,operating.year.month,unit,nameplate.capacity.mw.units
2014-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2014-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2014-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2014-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2014-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2014-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2014-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2014-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2014-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-12,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-12,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-12,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-12,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-12,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-12,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-11,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-11,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-11,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-11,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-11,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-11,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2014-01,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2014-01,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2014-01,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2014-01,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2014-01,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2014-01,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2014-05,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2014-05,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2014-05,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2014-05,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2014-05,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2014-05,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-09,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-09,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-09,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-09,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-09,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-09,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-08,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-08,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-08,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-08,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-07,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-07,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-08,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-08,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-07,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-07,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-07,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-07,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-06,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-06,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-06,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-06,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-06,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-06,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-03,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2013-04,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2013-04,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2013-04,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2010-12,,MW
2013-04,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2013-04,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2013-04,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2018-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2018-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2018-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2010-12,,MW
2018-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKL,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.5,2011-09,,MW
2018-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,PARKG,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,1.2,2013-03,,MW
2018-02,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,MESA,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.7,2008-12,,MW
2017-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,STF,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.1,2009-06,,MW
2017-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF2,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2012-02,,MW
2017-10,CO,Colorado,commercial-non-chp,Commercial Non-CHP,57017,DOE National Renewable Energy Laboratory,57694,DOE Golden NREL Main Campus,RSF1,Solar Photovoltaic,SUN,Solar,PV,PSCO,Public Service Company of Colorado,OP,Operating,Jefferson,39.740896,-105.170993,0.4,2010-12,,MW
